ID,item_cnt_month
0,0.19305445
1,0.42525327
2,0.61424816
3,0.47595635
4,2.4893281
5,0.18390498
6,0.4435432
7,0.22527823
8,0.85157144
9,0.907711
10,1.7633312
11,0.14161749
12,0.14154953
13,0.51314133
14,1.7625828
15,1.214347
16,0.0753908
17,0.22624543
18,0.9670179
19,0.3079615
20,0.4236258
21,0.36197546
22,2.2979498
23,0.42174742
24,0.83531404
25,0.87413776
26,0.41559026
27,0.39480463
28,1.4583628
29,3.7117023
30,0.8116064
31,0.5528108
32,1.0159405
33,1.0598326
34,0.05402493
35,0.08101344
36,0.07577309
37,1.1570224
38,0.20694354
39,0.10441256
40,0.50467175
41,1.1986917
42,3.5279903
43,4.077943
44,1.1417918
45,0.60492957
46,0.79670465
47,0.09048501
48,0.3361249
49,0.5593475
50,1.6717854
51,0.28398842
52,0.46934006
53,0.31339452
54,3.4173238
55,4.172679
56,1.2277217
57,0.9131565
58,5.1952186
59,3.0768027
60,4.229895
61,0.32804862
62,0.20697041
63,0.4917104
64,3.265277
65,0.44007188
66,0.5097646
67,0.028921086
68,0.41415784
69,0.03457636
70,0.44007188
71,1.2227832
72,0.32940286
73,0.5818219
74,6.0660796
75,8.7254
76,0.4356657
77,5.945478
78,0.26512003
79,0.551749
80,1.0010707
81,2.255889
82,0.9047531
83,0.32783556
84,0.502076
85,0.4892247
86,0.3611146
87,0.07030054
88,1.9868923
89,0.45358503
90,0.7928573
91,0.99530053
92,1.4455112
93,0.084719576
94,0.6527808
95,0.0073866937
96,0.0
97,0.18403688
98,0.43720967
99,0.7324674
100,1.1392193
101,1.605681
102,0.27986804
103,1.512563
104,0.04504481
105,0.6004578
106,0.47251704
107,0.7494428
108,0.14837635
109,0.4229323
110,0.2653008
111,0.5617229
112,0.33339277
113,0.84815216
114,0.07393634
115,0.26553363
116,0.26280856
117,0.09316298
118,7.5419216
119,0.124742165
120,0.08240171
121,0.08776002
122,0.3849521
123,0.4683208
124,0.26540715
125,0.6567285
126,0.36770272
127,0.10932322
128,0.3832728
129,0.26722494
130,0.3310323
131,0.04537285
132,2.0614674
133,5.7867846
134,0.08290011
135,1.6876581
136,0.4764413
137,0.6476065
138,1.3565376
139,1.6880745
140,0.29733428
141,0.43531036
142,0.11002579
143,0.3337312
144,0.4035351
145,0.4035351
146,0.4035351
147,0.072266415
148,0.25308132
149,0.0911589
150,0.11951097
151,0.37177154
152,6.7295504
153,0.2841353
154,0.13612598
155,0.1373261
156,0.19808036
157,0.19702962
158,0.18244097
159,0.1716875
160,0.7049042
161,0.2370887
162,0.49399132
163,1.0528003
164,0.4195294
165,0.12158716
166,0.31712076
167,0.04453212
168,0.25769028
169,0.1277067
170,0.2366955
171,0.43845966
172,0.17680593
173,2.4334931
174,1.3723525
175,2.9092782
176,0.4795747
177,0.20997508
178,0.21224828
179,0.12708068
180,1.4008934
181,0.2064177
182,0.2585886
183,0.20108606
184,0.147627
185,0.031256072
186,0.13820645
187,0.11535673
188,0.25492632
189,0.25492632
190,0.1370137
